celltype,gene,adj_p_val,lfc
Exc,TMEM207,0.999884276,0.741735361
Exc,APOL6,0.999884276,0.231018364
Exc,DPP3,0.999677361,0.548688741
Exc,HAUS4,0.999094304,1.281836505
Exc,LAMB2,0.998756781,0.681198823
Exc,MYOC,0.996463357,0.34219611
Exc,S1PR3,0.994818761,0.471193909
Exc,AQP1,0.994809893,0.708999046
Exc,FCN3,0.994200785,-0.149302861
Exc,IPO4,0.994000219,-0.008711366
Exc,TRIL,0.991437172,0.643045089
Exc,GPSM3,0.989649204,-0.134996765
Exc,CBLN1,0.989313806,0.173861067
Exc,ARTN,0.987027697,0.8720642
Exc,CTD-2192J16.22,0.986906908,-0.427586688
Exc,SOWAHC,0.986245879,0.572687472
Exc,MYH4,0.984496414,-0.145524078
Exc,ALDH3B2,0.984382942,0.490522387
Exc,TNNI1,0.98432394,0.593855904
Exc,DUSP9,0.984256948,0.850754358
Exc,SEMA7A,0.983136684,0.460412809
Exc,HSD3B7,0.983136684,-0.012078137
Exc,ASB9,0.981747209,-0.269153596
Exc,LYZL6,0.981553098,0.445421898
Exc,GRM6,0.981357163,0.054247752
Exc,SELPLG,0.980238364,1.074631872
Exc,GPR151,0.978966021,-0.022796318
Exc,ANKRD49,0.977643064,0.523650591
Exc,FAM131C,0.977241659,0.385638473
Exc,RP11-318A15.7,0.974947335,-0.13994912
Exc,AIM2,0.974456694,1.086632975
Exc,DDR1,0.974456694,0.549843189
Exc,EMILIN1,0.974122162,0.302578256
Exc,FKBP6,0.973840787,0.898193036
Exc,CYP4F2,0.97297645,-0.075186826
Exc,TMSB15A,0.972678409,-0.302276219
Exc,GABRP,0.972013301,0.491111389
Exc,TMIGD2,0.971480518,0.176936195
Exc,LRRC63,0.97144498,0.723038653
Exc,RP11-2C24.9,0.97144498,0.077296635
Exc,GNG8,0.971265064,1.398112396
Exc,NPIPB7,0.970440223,0.515631604
Exc,CYLC1,0.970390353,0.951692125
Exc,SCGN,0.969508954,0.479180612
Exc,GJC2,0.965994676,0.470252444
Exc,SLC34A2,0.965959177,0.379987816
Exc,GNG11,0.965959177,-0.01679256
Exc,SLC6A3,0.965802673,0.035350115
Exc,C1GALT1C1L,0.965603928,-0.109604412
Exc,GOT1L1,0.96543912,-0.006309674
Exc,CA8,0.96543912,0.367436395
Exc,NGF,0.96491616,1.217038313
Exc,TXNIP,0.96352113,1.311569489
Exc,LRRC25,0.963520054,0.829101286
Exc,PLAGL2,0.960999063,0.781307651
Exc,MAPK8IP1,0.959710341,0.655178821
Exc,LY6G5B,0.959471112,0.917400183
Exc,C9orf43,0.959047033,0.561868251
Exc,UGT3A2,0.958819939,0.287443624
Exc,ZNF501,0.958711909,0.476718073
Exc,PTF1A,0.958263508,0.38263794
Exc,CD24,0.955320895,0.323510118
Exc,KLRB1,0.954880787,0.554781745
Exc,GEM,0.953257068,0.574384446
Exc,ADGRF1,0.952897886,0.258404376
Exc,TCAP,0.952643437,0.732927901
Exc,AC011380.1,0.951651598,-0.4983524
Exc,SMIM9,0.951651598,0.078795355
Exc,TMPRSS4,0.951651598,0.61858312
Exc,SERPINB11,0.951651598,0.116470397
Exc,SLC17A8,0.950323555,0.838665719
Exc,NMUR2,0.949708149,0.048585003
