gene,IndModel.adj.pvals,IndModel.FC,MixedModel.z,MixedModel.p,DEGs.Ind.Model,DEGs.Ind.Mix.models,celltype
COX4I1,5.54E-41,-0.693265669,-5.721807403,1.05E-08,TRUE,TRUE,Inh
NGFRAP1,1.61E-39,-0.569414921,-6.374196444,1.84E-10,TRUE,TRUE,Inh
TMSB4X,4.07E-36,-0.469761211,-4.533423204,5.80E-06,TRUE,TRUE,Inh
ATPIF1,4.15E-35,-0.660146919,-5.372275436,7.77E-08,TRUE,TRUE,Inh
NDUFA4,1.81E-32,-0.528920475,-4.571972106,4.83E-06,TRUE,TRUE,Inh
STMN2,5.59E-28,-0.438819835,-5.911677214,3.39E-09,TRUE,TRUE,Inh
SOD1,1.01E-27,-0.529723314,-4.271195439,1.94E-05,TRUE,TRUE,Inh
ICA1,7.56E-27,-0.348770514,-7.031934,2.04E-12,TRUE,TRUE,Inh
RP11-701H24.9,7.66E-25,-0.255288579,-4.231845549,2.32E-05,TRUE,TRUE,Inh
CIRBP,4.31E-24,-0.327628977,-4.554410407,5.25E-06,TRUE,TRUE,Inh
DHFR,8.75E-24,1.177345735,4.769682251,1.85E-06,TRUE,TRUE,Inh
BEX2,5.78E-23,-0.489094306,-4.872434068,1.10E-06,TRUE,TRUE,Inh
TCEAL4,6.23E-22,-0.53991747,-4.608766276,4.05E-06,TRUE,TRUE,Inh
SPCS1,2.10E-21,-0.58664958,-5.240945085,1.60E-07,TRUE,TRUE,Inh
BEX4,1.40E-20,-0.418412144,-4.289461822,1.79E-05,TRUE,TRUE,Inh
TAF15,5.28E-19,-0.353965598,-5.02450113,5.05E-07,TRUE,TRUE,Inh
MGST3,6.92E-19,-0.277851181,-4.427836583,9.52E-06,TRUE,TRUE,Inh
MAMDC2,4.56E-18,-0.424904928,-5.155703207,2.53E-07,TRUE,TRUE,Inh
EML6,6.93E-18,-0.300065299,-6.014357033,1.81E-09,TRUE,TRUE,Inh
ATP5G3,1.97E-17,-0.519411163,-4.50046136,6.78E-06,TRUE,TRUE,Inh
MLLT11,3.74E-17,-0.545948733,-4.298434007,1.72E-05,TRUE,TRUE,Inh
ATP5J,1.73E-16,-0.482523739,-4.635580944,3.56E-06,TRUE,TRUE,Inh
PDE8A,9.83E-16,-0.28945988,-5.326870984,9.99E-08,TRUE,TRUE,Inh
FBXO2,2.93E-15,-0.719010104,-4.52331849,6.09E-06,TRUE,TRUE,Inh
GPI,1.18E-14,-0.32308137,-4.849665109,1.24E-06,TRUE,TRUE,Inh
BEX5,2.86E-14,-0.682028732,-4.742016053,2.12E-06,TRUE,TRUE,Inh
SCAND1,3.91E-14,-0.412178918,-4.575114488,4.76E-06,TRUE,TRUE,Inh
NDUFA12,4.07E-14,-0.524150646,-4.219926123,2.44E-05,TRUE,TRUE,Inh
COX5A,5.55E-14,-0.518269445,-4.39097056,1.13E-05,TRUE,TRUE,Inh
PLAGL1,1.08E-13,-0.370824345,-4.736279665,2.18E-06,TRUE,TRUE,Inh
PPA1,1.76E-13,-0.368564695,-4.313769176,1.60E-05,TRUE,TRUE,Inh
PSMD7,4.17E-13,-0.416172028,-4.846248193,1.26E-06,TRUE,TRUE,Inh
MRPL27,3.20E-12,-0.812282858,-5.119523828,3.06E-07,TRUE,TRUE,Inh
NDUFS3,5.21E-12,-0.654527095,-4.376731227,1.20E-05,TRUE,TRUE,Inh
TRMT112,5.57E-12,-0.482349291,-4.184577323,2.86E-05,TRUE,TRUE,Inh
MRPL55,6.34E-12,-0.682713438,-5.434732771,5.49E-08,TRUE,TRUE,Inh
MTRNR2L12,9.13E-12,1.202958644,4.931462412,8.16E-07,TRUE,TRUE,Inh
GPATCH2,5.19E-11,-0.253739406,-4.541141169,5.60E-06,TRUE,TRUE,Inh
TCEAL6,5.35E-11,-0.697580195,-4.505868009,6.61E-06,TRUE,TRUE,Inh
RAB3IP,6.45E-11,-0.333369019,-4.558516364,5.15E-06,TRUE,TRUE,Inh
TSEN2,6.57E-11,-0.36216232,-4.184855968,2.85E-05,TRUE,TRUE,Inh
TPK1,7.12E-11,-0.360343797,-4.158076053,3.21E-05,TRUE,TRUE,Inh
CMC2,9.55E-11,-0.500542228,-4.597367798,4.28E-06,TRUE,TRUE,Inh
LAMP5,1.11E-10,-0.893574743,-7.819951379,5.28E-15,TRUE,TRUE,Inh
EIF4E1B,1.56E-10,-0.819853818,-4.718544479,2.38E-06,TRUE,TRUE,Inh
ASAH1,1.90E-10,-0.352651341,-4.321467573,1.55E-05,TRUE,TRUE,Inh
SV2C,4.07E-10,-0.547691443,-5.167840809,2.37E-07,TRUE,TRUE,Inh
MRPS16,5.91E-10,-0.576292865,-4.362511743,1.29E-05,TRUE,TRUE,Inh
LGALS1,6.79E-10,-0.933823563,-6.112880842,9.78E-10,TRUE,TRUE,Inh
TRPC3,1.03E-09,-0.580156018,-5.470307812,4.49E-08,TRUE,TRUE,Inh
COPG2,1.75E-08,-0.36120173,-4.36288549,1.28E-05,TRUE,TRUE,Inh
KCNH5,1.00E-06,-0.252741693,-4.135740981,3.54E-05,TRUE,TRUE,Inh
NXPH2,2.93E-06,-0.254343713,-4.20740981,2.58E-05,TRUE,TRUE,Inh
GPS2,0.000295097,1.035961179,4.212808206,2.52E-05,TRUE,TRUE,Inh
RASGEF1B,0,0.897136152,6.127534792,8.93E-10,TRUE,TRUE,Exc
NGFRAP1,0,-0.662872332,-11.22153181,3.20E-29,TRUE,TRUE,Exc
LINGO1,6.26E-298,0.602907447,5.689686527,1.27E-08,TRUE,TRUE,Exc
BEX1,8.20E-283,-0.605891113,-9.953162786,2.44E-23,TRUE,TRUE,Exc
SLC26A3,2.12E-276,0.897916223,6.54022884,6.14E-11,TRUE,TRUE,Exc
TUBB2A,1.99E-258,-0.645653274,-5.237939728,1.62E-07,TRUE,TRUE,Exc
BEX2,3.87E-244,-0.629187851,-11.42797912,3.03E-30,TRUE,TRUE,Exc
STMN1,3.28E-237,-0.554918797,-6.065152355,1.32E-09,TRUE,TRUE,Exc
ATPIF1,3.52E-234,-0.594685523,-6.573661357,4.91E-11,TRUE,TRUE,Exc
RAB3A,1.18E-233,-0.57481849,-7.675489552,1.65E-14,TRUE,TRUE,Exc
CES4A,3.63E-231,-0.744177254,-8.06341374,7.42E-16,TRUE,TRUE,Exc
SOD1,6.86E-230,-0.598997646,-7.044689573,1.86E-12,TRUE,TRUE,Exc
SRP14,3.52E-224,-0.515238134,-5.078922331,3.80E-07,TRUE,TRUE,Exc
DYNLL1,3.11E-212,-0.472410538,-6.8792128,6.02E-12,TRUE,TRUE,Exc
SCG5,7.53E-211,-0.462550606,-7.132468791,9.86E-13,TRUE,TRUE,Exc
RAPH1,3.44E-210,-0.440484256,-4.717903032,2.38E-06,TRUE,TRUE,Exc
WSB1,5.77E-210,-0.427257953,-6.237059454,4.46E-10,TRUE,TRUE,Exc
HINT1,6.14E-208,-0.541864849,-6.806319971,1.00E-11,TRUE,TRUE,Exc
COX4I1,6.14E-208,-0.623155829,-4.671734705,2.99E-06,TRUE,TRUE,Exc
PEBP1,1.77E-206,-0.455976838,-5.641876969,1.68E-08,TRUE,TRUE,Exc
VDAC3,1.90E-206,-0.528476117,-8.252529163,1.55E-16,TRUE,TRUE,Exc
BEX5,5.59E-202,-0.72683972,-10.08597477,6.37E-24,TRUE,TRUE,Exc
BEX4,3.80E-200,-0.482490099,-8.33108434,8.01E-17,TRUE,TRUE,Exc
EID1,3.80E-200,-0.489370617,-7.176796336,7.14E-13,TRUE,TRUE,Exc
C14orf2,3.65E-198,-0.493797738,-6.667979447,2.59E-11,TRUE,TRUE,Exc
TUBB4B,1.68E-197,-0.535668369,-4.606792564,4.09E-06,TRUE,TRUE,Exc
RPL15,5.08E-197,-0.486459353,-6.664192513,2.66E-11,TRUE,TRUE,Exc
MDH1,2.05E-195,-0.444748445,-7.419022468,1.18E-13,TRUE,TRUE,Exc
ATP6V1F,3.36E-192,-0.589861682,-6.696923141,2.13E-11,TRUE,TRUE,Exc
TUBA4A,1.02E-190,-0.562890982,-5.618322594,1.93E-08,TRUE,TRUE,Exc
CIRBP,6.46E-186,-0.415872189,-7.826242586,5.03E-15,TRUE,TRUE,Exc
MTRNR2L8,2.91E-182,2.751638313,5.269807442,1.37E-07,TRUE,TRUE,Exc
TCEAL2,1.02E-179,-0.49552826,-7.954378353,1.80E-15,TRUE,TRUE,Exc
ICA1,4.54E-179,-0.322661545,-9.799888338,1.13E-22,TRUE,TRUE,Exc
TARBP1,4.21E-178,-0.318281999,-8.122523427,4.57E-16,TRUE,TRUE,Exc
TIMP3,1.76E-175,-0.832917418,-7.02528524,2.14E-12,TRUE,TRUE,Exc
GAP43,5.34E-174,-0.421340431,-6.926760206,4.31E-12,TRUE,TRUE,Exc
TMSB4X,6.40E-174,-0.388043403,-4.614117885,3.95E-06,TRUE,TRUE,Exc
RPH3A,9.44E-173,-0.454401997,-4.690556118,2.72E-06,TRUE,TRUE,Exc
STAT4,6.93E-172,-0.429028923,-7.165524177,7.75E-13,TRUE,TRUE,Exc
RAB11A,6.57E-171,-0.345324948,-5.955517769,2.59E-09,TRUE,TRUE,Exc
CCK,2.23E-170,-0.433746675,-4.480498568,7.45E-06,TRUE,TRUE,Exc
SNU13,4.62E-169,-0.523617859,-10.29189258,7.67E-25,TRUE,TRUE,Exc
MGST3,2.50E-167,-0.408791096,-6.300532148,2.97E-10,TRUE,TRUE,Exc
TSPAN7,7.98E-165,-0.345886124,-4.724250735,2.31E-06,TRUE,TRUE,Exc
SNCG,9.19E-165,-1.012879428,-5.541204211,3.00E-08,TRUE,TRUE,Exc
SAP18,5.10E-163,-0.521966635,-10.73435644,7.02E-27,TRUE,TRUE,Exc
RTF1,3.99E-162,-0.307665419,-5.265546127,1.40E-07,TRUE,TRUE,Exc
DHFR,9.33E-162,1.175363347,7.334765899,2.22E-13,TRUE,TRUE,Exc
ATP5G3,1.59E-161,-0.532004945,-7.062793039,1.63E-12,TRUE,TRUE,Exc
HMGN3,9.34E-160,-0.328134351,-4.756788312,1.97E-06,TRUE,TRUE,Exc
ISCU,3.87E-159,-0.504930297,-7.23684249,4.59E-13,TRUE,TRUE,Exc
PAK1,9.68E-158,-0.301086834,-7.079488956,1.45E-12,TRUE,TRUE,Exc
MLLT11,2.14E-157,-0.424935425,-6.533358212,6.43E-11,TRUE,TRUE,Exc
ATP6AP2,3.96E-157,-0.502786449,-7.152200051,8.54E-13,TRUE,TRUE,Exc
UBC,1.21E-156,-0.384760386,-4.90822349,9.19E-07,TRUE,TRUE,Exc
NDUFS5,3.01E-156,-0.415049643,-4.789953972,1.67E-06,TRUE,TRUE,Exc
RPL29,1.19E-155,-0.487654375,-4.333188047,1.47E-05,TRUE,TRUE,Exc
UQCRH,5.47E-155,-0.410196627,-6.088032009,1.14E-09,TRUE,TRUE,Exc
CHCHD2,1.59E-154,-0.513806964,-4.823725673,1.41E-06,TRUE,TRUE,Exc
GOLT1B,3.70E-153,-0.513069228,-9.393468018,5.81E-21,TRUE,TRUE,Exc
RTN4,8.63E-152,-0.336865101,-4.589773729,4.44E-06,TRUE,TRUE,Exc
SVOP,1.25E-151,-0.341678698,-5.898430922,3.67E-09,TRUE,TRUE,Exc
CSMD1,5.87E-151,0.292989267,4.734786756,2.19E-06,TRUE,TRUE,Exc
SPCS1,6.05E-151,-0.559290814,-6.407524948,1.48E-10,TRUE,TRUE,Exc
ACTG1,1.29E-150,-0.346197277,-5.424128934,5.82E-08,TRUE,TRUE,Exc
PARK7,7.83E-150,-0.546045361,-7.604543231,2.86E-14,TRUE,TRUE,Exc
RAB1A,8.27E-148,-0.35282989,-7.15026217,8.66E-13,TRUE,TRUE,Exc
RGS4,1.08E-147,-0.397283285,-5.173222421,2.30E-07,TRUE,TRUE,Exc
ATP5L,1.40E-147,-0.451612733,-6.658842379,2.76E-11,TRUE,TRUE,Exc
NRN1,2.45E-147,-0.478593924,-5.783069946,7.33E-09,TRUE,TRUE,Exc
PSMA7,4.64E-147,-0.528817645,-7.995220441,1.29E-15,TRUE,TRUE,Exc
ATF6B,1.29E-146,-0.500565904,-6.357597893,2.05E-10,TRUE,TRUE,Exc
UQCRC2,2.20E-146,-0.429524621,-5.670826603,1.42E-08,TRUE,TRUE,Exc
ATP6V1D,2.28E-146,-0.54572987,-8.890788154,6.07E-19,TRUE,TRUE,Exc
SUB1,8.88E-146,-0.399160383,-6.999300798,2.57E-12,TRUE,TRUE,Exc
GABARAPL2,1.79E-145,-0.501710124,-4.98194733,6.29E-07,TRUE,TRUE,Exc
