Cell,logFC,logCPM,LR,PValue,adj_pval,HGNC,ensembl_id
Mic,2.70178913334735,6.99794619142917,26.1418415284071,3.17234636677809e-07,0.000613492133005297,ACRBP,ENSG00000111644
Mic,1.48930071313363,8.06240876779327,28.6361217026375,8.73376921704331e-08,0.000193028776509824,APOC1,ENSG00000130208
Mic,1.0932766927008,8.64199768567389,21.5323014381331,3.47918736829892e-06,0.00336415673593454,CD81,ENSG00000110651
Mic,-1.41576813134041,7.93884874636958,23.9955466713211,9.65587801117221e-07,0.00135805535191678,CD83,ENSG00000112149
Mic,3.37827270092071,6.86183547539442,32.0804400599293,1.47919117046871e-08,4.57691331966429e-05,CLEC1B,ENSG00000165682
Mic,2.84072451770599,6.74370541911192,21.7745508945105,3.06640657431352e-06,0.00316269174074697,EGF,ENSG00000138798
Mic,2.55769658191461,6.78345086574513,18.0468871560516,2.15530753376229e-05,0.0169900713679547,ELOVL7,ENSG00000164181
Mic,-1.20560983525557,8.33197499364411,22.664404467063,1.92908589555407e-06,0.00229576060693207,IFI44L,ENSG00000137959
Mic,-1.66160690803302,7.15366638708091,16.4801273888121,4.91626805842529e-05,0.0330693839703903,IFI6,ENSG00000126709
Mic,-1.98094249703212,7.00396288957154,17.9180823373743,2.3061954542502e-05,0.0169900713679547,IFIT3,ENSG00000119917
Mic,2.76502671526585,6.72978804677064,20.6543637465149,5.50116639656021e-06,0.0047282525178435,ITGA2B,ENSG00000005961
Mic,1.90963403291265,7.01552232758583,16.3200188979511,5.34958163869732e-05,0.0344847406384526,MAP1A,ENSG00000166963
Mic,-1.81945082040126,8.26208887169982,45.2221008265902,1.75908704058635e-11,1.36074178024557e-07,NAMPT,ENSG00000105835
Mic,2.0945044026196,7.1104845602093,20.806852367465,5.08008775844054e-06,0.00462317868887256,NEXN,ENSG00000162614
Mic,-2.37897621758828,6.93896984777381,22.3912441164335,2.22385548251924e-06,0.00245751915500394,NR4A2,ENSG00000153234
Mic,-2.8553462319921,6.73713862329397,22.8029868426607,1.79486541658119e-06,0.00229576060693207,NR4A3,ENSG00000119508
Mic,3.32873829000178,6.84942721445899,30.9553270077798,2.64036379699637e-08,6.80817805055514e-05,PF4,ENSG00000163737
Mic,3.42139860369962,6.87326383068982,33.2621656802136,8.05343431094836e-09,3.11486705561705e-05,PKHD1L1,ENSG00000205038
Mic,3.64525677182304,6.93422173818142,38.6612720298379,5.04112853965586e-10,2.59970998790053e-06,PPBP,ENSG00000163736
Mic,2.30482679260661,8.10570442908155,60.7932697341496,6.33942846756134e-15,9.80772978216415e-11,PTPRG,ENSG00000144724
Mic,-1.03824678619498,8.11450266081023,15.5968273329107,7.83860028700189e-05,0.0485083940160825,RORA,ENSG00000069667
Mic,2.54636649327163,6.69202981008214,17.2532606465916,3.27135655666927e-05,0.0230050714946501,SDPR,ENSG00000168497
Mic,-0.962961702569952,8.84343339906326,17.9319130576457,2.28949753005187e-05,0.0169900713679547,SYTL3,ENSG00000164674
Mic,-1.4215374110896,7.99629805949628,25.4736271915133,4.48471565158182e-07,0.000770922620506914,TMEM2,ENSG00000135048
Mic,2.98901595904979,6.77276641041341,24.2100819415191,8.63789200555841e-07,0.00133636827217994,TUBB1,ENSG00000101162
Opc,-2.82747184007437,5.03371292212895,22.1334580697103,2.54338078172318e-06,0.0417623124358946,EGR1,ENSG00000120738
